log_id,driver_id,date,timestamp,current_earnings,elapsed_hours,curr_velocity,required_velocity,velocity_delta,trips_completed,forecast_status
08eb4ad8,26f68dfb,2026-03-10,2026-03-10T22:59:37.965001967,0.0000,0.0000,0.0000,125.2610,-125.2610,0,CRITICAL
2bdc5b6f,26f68dfb,2026-03-10,2026-03-10T22:59:42.515110227,0.0000,0.0000,0.0000,125.2610,-125.2610,0,CRITICAL
b72d7069,26f68dfb,2026-03-10,2026-03-10T23:00:12.514537203,0.0000,0.0000,0.0000,125.2610,-125.2610,0,CRITICAL
41fee8ec,26f68dfb,2026-03-10,2026-03-10T23:00:26.794004320,0.0000,0.0000,0.0000,88.5595,-88.5595,1,CRITICAL
c844d9d0,26f68dfb,2026-03-10,2026-03-10T23:00:26.796758498,293.0000,0.0000,0.0000,88.5595,-88.5595,1,CRITICAL
